"date","country","deaths_metric"
2020-08-06,"AD",0
2020-08-07,"AD",0
2020-08-08,"AD",0
2020-08-09,"AD",0
2020-08-10,"AD",0
2020-08-11,"AD",0
2020-08-12,"AD",0
2020-08-13,"AD",1.849
2020-08-14,"AD",1.849
2020-08-15,"AD",1.849
2020-08-16,"AD",0
2020-08-17,"AD",1.849
2020-08-18,"AD",0
2020-08-19,"AD",0
2020-08-20,"AD",0
2020-08-21,"AD",0
2020-08-22,"AD",0
2020-08-23,"AD",0
2020-08-24,"AD",0
2020-08-25,"AD",0
2020-08-26,"AD",0
2020-08-27,"AD",0
2020-08-28,"AD",0
2020-08-29,"AD",0
2020-08-30,"AD",0
2020-08-31,"AD",0
2020-09-01,"AD",0
2020-09-02,"AD",0
2020-09-03,"AD",0
2020-09-04,"AD",0
2020-09-05,"AD",0
2020-09-06,"AD",0
2020-09-07,"AD",0
2020-09-08,"AD",0
2020-09-09,"AD",0
2020-09-10,"AD",0
2020-09-11,"AD",0
2020-09-12,"AD",0
2020-09-13,"AD",0
2020-09-14,"AD",0
2020-09-15,"AD",0
2020-09-16,"AD",0
2020-09-17,"AD",0
2020-09-18,"AD",0
2020-09-19,"AD",0
2020-09-20,"AD",0
2020-09-21,"AD",0
2020-09-22,"AD",0
2020-09-23,"AD",0
2020-09-24,"AD",0
2020-09-25,"AD",0
2020-09-26,"AD",0
2020-09-27,"AD",0
2020-09-28,"AD",0
2020-09-29,"AD",0
2020-09-30,"AD",0
2020-10-01,"AD",0
2020-10-02,"AD",0
2020-10-03,"AD",0
2020-10-04,"AD",0
2020-10-05,"AD",0
2020-10-06,"AD",0
2020-10-07,"AD",0
2020-10-08,"AD",0
2020-10-09,"AD",0
2020-10-10,"AD",0
2020-10-11,"AD",0
2020-10-12,"AD",0
2020-10-13,"AD",0
2020-10-14,"AD",0
2020-10-15,"AD",0
2020-10-16,"AD",0
2020-10-17,"AD",7.396
2020-10-18,"AD",0
2020-10-19,"AD",7.396
2020-10-20,"AD",0
2020-10-21,"AD",0
2020-10-22,"AD",0
2020-10-23,"AD",0
